,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,39.0,10,0.5918367226155771,0.0688202246224435,11.692307692307692,0.6381578947368421,4.932186234817814,11.692307692307692,388.0,608.0,3.166383701188455,3.0,8.146381578947368
1,bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,7.0,2,0.5555554938271674,0.03488372079502434,16.583333333333332,0.6130653266331658,6.8785594639865995,16.583333333333332,122.0,199.0,3.282722513089005,2.0,8.603015075376884
2,bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,8.0,2,0.599999940000006,0.03906249984741211,16.583333333333332,0.6381909547738693,6.888609715242881,16.583333333333332,127.0,199.0,3.303664921465969,2.0,8.628140703517587
3,bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,7.0,2,0.5555554938271674,0.03448275848857181,16.666666666666668,0.64,6.922666666666668,16.666666666666668,128.0,200.0,3.3125,2.0,8.595
4,bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,8.0,2,0.599999940000006,0.038610038460965106,16.666666666666668,0.635,6.920666666666668,16.666666666666668,127.0,200.0,3.324607329842932,2.0,8.64
5,bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,7.0,2,0.5555554938271674,0.0351562498626709,16.416666666666668,0.6395939086294417,6.822504230118445,16.416666666666668,126.0,197.0,3.3015873015873014,2.0,8.649746192893401
6,bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,7.0,2,0.5555554938271674,0.03488372079502434,16.666666666666668,0.63,6.918666666666667,16.666666666666668,126.0,200.0,3.2864583333333335,2.0,8.545
7,bctech2018,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,6.0,2,0.4999999375000079,0.03100775181779941,16.666666666666668,0.63,6.918666666666667,16.666666666666668,126.0,200.0,3.3125,2.0,8.6
8,bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,6.0,2,0.4999999375000079,0.029520295094021053,14.714285714285714,0.6407766990291263,6.142024965325937,14.714285714285714,132.0,206.0,3.3636363636363638,2.0,8.684466019417476
9,bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,7.0,2,0.5555554938271674,0.0343511449070567,13.333333333333334,0.635,5.5873333333333335,13.333333333333334,127.0,200.0,3.3645833333333335,2.0,8.8
10,bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,8.0,2,0.599999940000006,0.038167938785618555,16.916666666666668,0.6354679802955665,7.020853858784894,16.916666666666668,129.0,203.0,3.3076923076923075,2.0,8.600985221674877
11,bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,23.0,6,0.5862068763376939,0.04647435889988084,8.39655172413793,0.5831622176591376,3.591885576718828,8.39655172413793,284.0,486.0,3.2926315789473684,2.0,8.952674897119342
12,bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,21.0,5,0.6153845917159773,0.05405405394167556,13.535714285714286,0.5883905013192612,5.64964191481342,13.535714285714286,223.0,379.0,3.137466307277628,5.0,8.2532981530343
13,bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,8.0,5,0.23076921301775286,0.036312849060578634,12.217391304347826,0.594306049822064,5.124678941667956,12.217391304347826,167.0,281.0,3.1555555555555554,3.0,8.327402135231317
14,bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,21.0,7,0.49999998214285774,0.0479452053973541,11.825,0.6173361522198731,4.97693446088795,11.825,292.0,473.0,3.1437908496732025,12.0,7.968287526427061
15,bctech2026,https://insights.blackcoffer.com/text-summarizing-tool-to-scrape-and-summarize-pubmed-medical-papers/,31.0,5,0.7222222021604945,0.06593406581330757,12.794117647058824,0.6022988505747127,5.358566599053415,12.794117647058824,262.0,435.0,3.192488262910798,9.0,8.448275862068966
16,bctech2027,https://insights.blackcoffer.com/7up7down-10updown-snakes-and-ladder-games-built-using-oops/,22.0,4,0.6923076656804744,0.05068226110978117,13.516129032258064,0.5656324582338902,5.632704596196782,13.516129032258064,237.0,419.0,3.080200501253133,4.0,7.957040572792363
17,bctech2028,https://insights.blackcoffer.com/data-studio-dashboard-with-a-data-pipeline-tool-synced-with-podio-using-custom-webhooks-and-google-cloud-function/,26.0,10,0.44444443209876583,0.056603773495906014,11.311111111111112,0.6129666011787819,4.769631084915957,11.311111111111112,312.0,509.0,3.172,2.0,8.133595284872298
